rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,gear_pos,gear
1541191795424233927,,29528,,1541191795,424135492,'',,3
1541191795443697843,,29529,,1541191795,443514744,'',,3
1541191795463550764,,29530,,1541191795,463456075,'',,3
1541191795483677022,,29531,,1541191795,483565002,'',,3
1541191795503629038,,29532,,1541191795,503454582,'',,3
1541191795524036244,,29533,,1541191795,523913518,'',,3
1541191795543599940,,29534,,1541191795,543410808,'',,3
1541191795563579766,,29535,,1541191795,563438703,'',,3
1541191795583684726,,29536,,1541191795,583539345,'',,3
1541191795604134478,,29537,,1541191795,603871345,'',,3
1541191795624558791,,29538,,1541191795,624219722,'',,3
1541191795643769975,,29539,,1541191795,643645206,'',,3
1541191795663586403,,29540,,1541191795,663476974,'',,3
1541191795683523259,,29541,,1541191795,683408646,'',,3
1541191795703670894,,29542,,1541191795,703497445,'',,3
1541191795724237437,,29543,,1541191795,724012965,'',,3
1541191795743613880,,29544,,1541191795,743509461,'',,3
1541191795763594814,,29545,,1541191795,763487083,'',,3
1541191795783692118,,29546,,1541191795,783576048,'',,3
1541191795803755496,,29547,,1541191795,803529925,'',,3
1541191795824228724,,29548,,1541191795,824072536,'',,3
1541191795843543369,,29549,,1541191795,843429137,'',,3
1541191795863749163,,29550,,1541191795,863539273,'',,3
1541191795883638078,,29551,,1541191795,883508045,'',,3
1541191795904028581,,29552,,1541191795,903856766,'',,3
1541191795924378119,,29553,,1541191795,924191723,'',,3
1541191795943578277,,29554,,1541191795,943452978,'',,3
1541191795963902269,,29555,,1541191795,963726106,'',,3
1541191795983640514,,29556,,1541191795,983470110,'',,3
1541191796003592460,,29557,,1541191796,3504241,'',,3
1541191796024371239,,29558,,1541191796,23999928,'',,3
1541191796043574742,,29559,,1541191796,43459784,'',,3
1541191796063868669,,29560,,1541191796,63741353,'',,3
1541191796083699997,,29561,,1541191796,83484142,'',,3
1541191796103552126,,29562,,1541191796,103434498,'',,3
1541191796124172199,,29563,,1541191796,123997618,'',,3
1541191796143594130,,29564,,1541191796,143473174,'',,3
1541191796163724144,,29565,,1541191796,163595273,'',,3
1541191796183941915,,29566,,1541191796,183830196,'',,3
1541191796203996087,,29567,,1541191796,203867314,'',,3
1541191796224102273,,29568,,1541191796,223944001,'',,3
1541191796243622830,,29569,,1541191796,243477976,'',,3
1541191796263680304,,29570,,1541191796,263593614,'',,3
1541191796283552151,,29571,,1541191796,283438706,'',,3
1541191796303569746,,29572,,1541191796,303467876,'',,3
1541191796324152245,,29573,,1541191796,323999989,'',,3
1541191796343560094,,29574,,1541191796,343431858,'',,3
1541191796363714443,,29575,,1541191796,363603526,'',,3
1541191796383555875,,29576,,1541191796,383439472,'',,3
1541191796403607774,,29577,,1541191796,403487580,'',,3
1541191796424106683,,29578,,1541191796,423982474,'',,3
1541191796443609956,,29579,,1541191796,443485903,'',,3
1541191796463607382,,29580,,1541191796,463509373,'',,3
1541191796483578614,,29581,,1541191796,483479018,'',,3
